"ID bài viết","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Liên kết vĩnh viễn","Loại bài viết","Bình luận về dữ liệu",Ngày,"Bình luận","Lượt phân phối","Lượt hiển thị","Lượt tương tác","Số người theo dõi thực","Cảm xúc","Lượt lưu","Lượt chia sẻ","Người xem","Lượt xem","Số Giây xem trung bình","Số Giây xem"
122112020019174523,61585235690451,"BK FC - Trường THPT Nguyễn Hữu Cảnh, TP.HCM","Loa loa loa! 📣 Các thần dân Nguyễn Hữu Cảnh ơi, chuyến tàu mang số hiệu BK FC đã chính thức lăn bánh và sẵn sàng đón các bạn rồi đây! 🚂💨

Bạn đang ""crush"" Bách Khoa nhưng chưa biết bắt đầu từ đâu? Bạn hoang mang về kỳ thi ĐGNL hay THPTQG sắp tới? Hay đơn giản là muốn gặp gỡ các anh chị tiền bối siêu ""ngầu""?

👉 Tất cả đã có trong lộ trình 6 tháng đồng hành cực cháy: 
✨ Tháng 2: Giải mã ""Bách Khoa có gì ta?"" 
✨ Tháng 3: Sự kiện ""Về trường"". 
✨ Tháng 5 & 6: Tiếp sức mùa thi - Sát cánh cùng sĩ tử. 
✨ Tháng 7: Truyền thông & Định hướng nghề nghiệp chuyên sâu.

Lên dây cót tinh thần ngay từ bây giờ thôi nào! Đừng quên theo dõi Page để không bỏ lỡ bất kỳ ""trạm dừng"" thú vị nào nha! 👇

#BKFC #ToiYeuBachKhoa #THPTNguyenHuuCanh #HCMUT #BachKhoa #TuyenSinh2026",0,"02/02/2026 07:20",https://www.facebook.com/bkfcnhctphcm/posts/pfbid02aLUGxjyY5DrNoFMD5SeACLZuAev4sUeVAV1yJEmJPXTHA4Q2gmU8FxTrXpXV39GKl,Ảnh,,"Trọn đời",1,--,461,8,0,6,0,1,295,805,,
122110424529174523,61585235690451,"BK FC - Trường THPT Nguyễn Hữu Cảnh, TP.HCM","BLOOMORA – HÀNH TRÌNH CỦA NHỮNG CHÚ ONG CHĂM CHỈ
HELLO NGUYỄN HỮU CẢNH! 🐝 BK FC ĐÃ CHÍNH THỨC ĐỔ BỘ RỒI ĐÂY!
_______________________________
Xin chào các đồng chí 2k8 tại trường THPT Nguyễn Hữu Cảnh!
Tụi mình chính là các cựu học sinh Nguyễn Hữu Cảnh, và hiện tại đang là sinh viên ""thực chiến"" tại Trường Đại học Bách Khoa ĐHQG – TP.HCM đây!!!
Nếu các bạn đang có những băn khoăn gì về trường Đại học Bách khoa:
• Bản thân phù hợp với ngành nào?
• Cuộc sống sinh viên sẽ ra sao?
• Bí kịp vượt qua kì thi như thế nào?
BKFC Nguyễn Hữu Cảnh ra đời để giúp bạn giải đáp những thắc mắc đó.
Chương trình BK Fan Club (BK FC) - Tôi Yêu Bách Khoa là hoạt động tư vấn hướng nghiệp do CLB Đại sứ Bách Khoa tổ chức. Còn BK FC Nguyễn Hữu Cảnh chính là một ""đặc quyền"" dành riêng cho học sinh trường mình, được vận hành trực tiếp bởi các anh chị cựu học sinh NHC đang học tập tại Bách Khoa.
  Chương trình Bách Khoa Fan Club (BK FC) chính là cầu nối để tụi mình ""về nhà"", đồng hành cùng các bạn trong kỳ thi quan trọng nhất cuộc đời học sinh này. Không chỉ là tư vấn tuyển sinh, tụi mình còn là những người anh, người chị, người ""đồng môn"" về để chia sẻ những câu chuyện ""người thật việc thật"" nhất.
  Đến với mùa BLOOMORA năm nay, tụi mình mang theo cả một ""kho tàng"" để tiếp sức cho các bạn:
• Giải mã Bách Khoa: Review ngành nghề từ chính trải nghiệm của những người đi trước. Góc nhìn cực ""thô"" nhưng cực ""thật"", giúp bạn chọn đúng nghề, đi đúng hướng  .
• Bí kíp vượt ải: Tips & Tricks chinh phục kỳ thi ĐGNL và THPTQG từ chính những Mentor đã từng ""trầy vi tróc vảy"" vượt qua nó  .
• Góc tâm sự mỏng: Nơi giải đáp 1001 câu hỏi ""khó đỡ"" về đời sống sinh viên mà các bạn hổng dám hỏi thầy cô  .
  Đừng rời mắt khỏi Fanpage vì sắp tới tụi mình sẽ tung ra hàng loạt các hoạt động hấp dẫn:
• Series ""Bách Khoa Có Gì?"": “Bóc trần sự thật” về các ngành HOT. 
• Minigame: Nhận quà độc quyền xịn xò từ Bách khoa (Gấu bông, Balo, Bình nước logo BK...).
• Q&A: Hỏi xoáy đáp xoay trực tiếp cùng các tiền bối.
  TẤT TẦN TẬT về Bách khoa sẽ được chúng mình giải đáp qua chương trình BK FC lần này.
Nhớ thả tim và theo dõi Fanpage để không bỏ lỡ “bí kíp” nào từ BK FC - THPT Nguyễn Hữu Cảnh nha !!!
_____________________________
 Mọi thắc mắc xin liên hệ fanpage: BK FC - THPT Nguyễn Hữu Cảnh, TP.HCM.
BK FC - Truyền lửa đam mê
#BKFC #ToiYeuBachKhoa #HCMUT #BKFCNguyenHuuCanh #BKFCNHC",0,"01/22/2026 02:19",https://www.facebook.com/bkfcnhctphcm/posts/pfbid02nnZwW1vUHtQ4LQ4bVMaXJiRiX6oRjv8up7aB86uWRaPHtgvgVTBa69tXUGFwTMwHl,Ảnh,,"Trọn đời",11,--,962,8,1,27,0,2,512,2245,,
122124975855174523,61585235690451,"BK FC - Trường THPT Nguyễn Hữu Cảnh, TP.HCM","⏳ CHỈ CÒN CHƯA ĐẦY 1 TUẦN ĐỂ CHẠY NƯỚC RÚT | TN THPT 2026 🏃‍♂️💨

Tuần cuối cùng này không phải để nhồi nhét hay học lại từ đầu, mà là lúc để các sĩ tử tinh chỉnh và giữ một phong độ đỉnh cao nhất!

Ghi nhớ ngay 4 ""bí kíp"" sống còn cho tuần này:
🎯 Chỉ ôn tập trọng tâm: Bám sát theo đề cương, không lan man.
❌ Sửa dứt điểm lỗi sai cũ: Xem lại các lỗi hay mắc phải để không mất điểm oan.
💤 Nghỉ ngơi điều độ: Ngủ đủ giấc, ăn uống khoa học để giữ gìn sức khỏe.
⛔ Không ""quay xe"": Tuyệt đối không thay đổi phương pháp học quá gấp lúc này nha!

👉 Tag ngay đứa bạn đang “cày đêm cày hôm” vào đây để bắt nó đi ngủ sớm nào!

#BKFC #ToiYeuBachKhoa #HCMUT #BKFCNguyenHuuCanh #BKFCNHC #THPTNguyenHuuCanh #TuyenSinh2026",0,"06/07/2026 06:30",https://www.facebook.com/bkfcnhctphcm/posts/pfbid02vc1UuVaitCoQue61eWipRA9jsowqFvjCAWJyH6bhdLP5WEd7V8uezDnTaFGkK1cwl,Ảnh,,"Trọn đời",0,--,21,2,0,1,0,1,21,37,,
122121746217174523,61585235690451,"BK FC - Trường THPT Nguyễn Hữu Cảnh, TP.HCM","D-DAY! CHÁY HẾT MÌNH NÀO SĨ TỬ ƠI 🔥 | HÔM NAY THI ĐGNL ĐỢT 2

Đi chậm một chút, đọc kỹ hơn một chút, tự tin thêm một chút là bạn sẽ làm được tất!

* Double-check giấy tờ cẩn thận trước khi bước ra khỏi nhà.
* Nhớ đến điểm thi sớm nhé.
* Gặp câu khó cứ hít thở sâu, giữ bình tĩnh để giải quyết.

👉 BKFC NHC chúc các bạn thi thật tốt và bùng nổ điểm số!

#BKFC #ToiYeuBachKhoa #HCMUT #BKFCNguyenHuuCanh #BKFCNHC #THPTNguyenHuuCanh #TuyenSinh2026",0,"05/23/2026 16:00",https://www.facebook.com/bkfcnhctphcm/posts/pfbid0PJPhFN1iAuM4JSy6pHdEbyS6Fvy9FSvZyrqen4zGAWu3DeXyH7crThMJ6twMCzmil,Ảnh,,"Trọn đời",0,--,14,0,0,0,0,0,14,26,,
122121745587174523,61585235690451,"BK FC - Trường THPT Nguyễn Hữu Cảnh, TP.HCM","GỬI NGÀN LỜI CHÚC MAY MẮN! 🍀 | ĐGNL ĐỢT 2

Cứ bình tĩnh đọc đề, “xử đẹp” từng câu, BKFC NHC tin chắc rằng các bạn sẽ làm được!

* Tối nay “cấm” thức quá khuya cày cuốc nữa nha.
* Chuẩn bị sẵn sàng đồ đạc gọn gàng từ trước khi đi ngủ.
* Và nhớ: Không đi lướt so đáp án linh tinh trước giờ thi để giữ tâm lý thật vững!

👉 Thả nhẹ một chú ong 🐝 dưới comment để “lấy vía” tự tin 100% nào!

#BKFC #ToiYeuBachKhoa #HCMUT #BKFCNguyenHuuCanh #BKFCNHC #THPTNguyenHuuCanh #TuyenSinh2026",0,"05/23/2026 05:00",https://www.facebook.com/bkfcnhctphcm/posts/pfbid0V3NdRJCYmZkrDt5rnVveCYW5L1ULRSWK5Ce47ffNWD4pEJZP467iDj39R9EEQbKGl,Ảnh,,"Trọn đời",0,--,59,2,0,2,0,1,55,111,,
122121745323174523,61585235690451,"BK FC - Trường THPT Nguyễn Hữu Cảnh, TP.HCM","CHECKLIST ĐGNL ĐỢT 2 ✅: SẴN SÀNG ĐỂ TỎA SÁNG!

Chỉ cần mang đủ đồ, ngủ đủ giấc và đến sớm, vậy là bạn đã nắm chắc hơn 50% sự tự tin rồi đó!

* Vật bất ly thân: CCCD hoặc giấy tờ tùy thân hợp lệ.
* Giấy báo dự thi hoặc thông tin phòng thi.
* “Đạn dược”: Bút, nước uống, đồng hồ thường nếu quy chế cho phép.
* Quan trọng: Nhớ có mặt sớm hơn giờ gọi ít nhất 30 phút để làm quen không khí nha.

👉 Nhanh tay chụp màn hình chiếc checklist “cứu rỗi” này lại đi!

#BKFC #ToiYeuBachKhoa #HCMUT #BKFCNguyenHuuCanh #BKFCNHC #THPTNguyenHuuCanh #TuyenSinh2026",0,"05/21/2026 06:00",https://www.facebook.com/bkfcnhctphcm/posts/pfbid02T1KK8zS1mh9t2DFKRSP3K6YP3TKPrSd7iQXRygbPoveBHgRVu1DyQaaGDnJd1Wc1l,Ảnh,,"Trọn đời",0,--,12,0,0,0,0,0,12,22,,
122121745185174523,61585235690451,"BK FC - Trường THPT Nguyễn Hữu Cảnh, TP.HCM","TINH TING! ĐÃ CÓ GIẤY BÁO DỰ THI | ĐGNL ĐỢT 2 🎫

Đừng để “nước đến chân mới nhảy” rồi sát ngày thi mới hớt hải đi lùng địa điểm và thông tin cá nhân nha mấy bồ!

* Check ngay họ tên, số báo danh và phòng thi xem đã chuẩn chỉnh chưa.
* “Ghim” sẵn địa điểm thi vào điện thoại cho chắc cú.
* Chuẩn bị sẵn sàng CCCD cùng các vật dụng cần thiết mang vào phòng thi.

👉 Tag ngay cái đứa “não cá vàng” vào đây để nhắc nhở nhau nào.

#BKFC #ToiYeuBachKhoa #HCMUT #BKFCNguyenHuuCanh #BKFCNHC #THPTNguyenHuuCanh #TuyenSinh2026",0,"05/16/2026 06:00",https://www.facebook.com/bkfcnhctphcm/posts/pfbid02CoKrSdKMP75GWa4PK5yXz55akxtf4NAFZLUhhsEjvxN9TVusXc65norCYTzmPe94l,Ảnh,,"Trọn đời",0,--,83,3,0,3,0,1,76,135,,
122121744987174523,61585235690451,"BK FC - Trường THPT Nguyễn Hữu Cảnh, TP.HCM","🚨 Nhắc nhở đăng ký TN THPT
ÉT O ÉT! DEADLINE SÁT NÁCH RỒI SĨ TỬ ƠI! | TN THPT 2026

Các chiến thần 2k8 đã chốt đơn đăng ký thi chưa? Nhớ kiểm tra đăng ký dự thi TN THPT trước 17:00 ngày 05/05 đó nha!

* Đăng nhập ngay vào hệ thống để check kỹ lại thông tin cá nhân của mình.
* Soi thật kỹ các môn thi, khu vực và đối tượng ưu tiên kẻo mất quyền lợi.
* Lỡ có phát hiện sai sót thì “méc” giáo viên ngay và luôn để được hỗ trợ kịp thời.

👉 Share lẹ bài viết này cho đứa bạn cùng bàn để nó không bị “tối cổ” nha.

#BKFC #ToiYeuBachKhoa #HCMUT #BKFCNguyenHuuCanh #BKFCNHC #THPTNguyenHuuCanh #TuyenSinh2026",0,"05/03/2026 06:00",https://www.facebook.com/bkfcnhctphcm/posts/pfbid02NShZAh4zVWT23pfQzLhWE6hLwi9RB6vGqWynCFRjG4b7Ma3ynhdVRjwULUMEZBJDl,Ảnh,,"Trọn đời",0,--,90,3,0,3,0,1,76,155,,
122121630039174523,61585235690451,"BK FC - Trường THPT Nguyễn Hữu Cảnh, TP.HCM","Loa loa loa! 📢 Các thần dân Nguyễn Hữu Cảnh ơi, chuyến xe mang tên BK STEM TOUR đã chính thức lăn bánh rồi đây! 🚌💨

Bạn đang ""crush"" Bách Khoa nhưng chưa biết môi trường học tập thực tế ra sao? Bạn tò mò về các phòng thí nghiệm xịn sò chuẩn quốc tế hay muốn gặp gỡ trực tiếp đội ngũ tư vấn tuyển sinh siêu nhiệt tình của trường? 🤔

Vậy thì nhanh tay chớp lấy cơ hội ""có một không hai"" này, tham gia ngay BK STEM TOUR: KHÁM PHÁ KHÔNG GIAN KỸ THUẬT VÀ CÔNG NGHỆ BÁCH KHOA nhé! Đến với hành trình này, các bạn sẽ được:

✨ Mở rộng tầm mắt, trải nghiệm thực tế tại các phòng thí nghiệm và xưởng thực hành siêu khủng của Bách Khoa.
✨ Lắng nghe những chia sẻ, định hướng tương lai cực kỳ tâm huyết từ các giảng viên.
✨ Bỏ túi vô vàn thông tin hữu ích về các ngành học để có lựa chọn vững chắc nhất cho chặng đường sắp tới.
✨ Và đặc biệt: Rinh về những phần quà độc quyền cực xịn từ Nhà trường! 🎁

📌 Thông tin chi tiết ""chuyến xe"":
⌛ Thời gian: 7h30 Thứ 7, ngày 16/05/2026
🏫 Địa điểm: Hội trường A5, Trường Đại học Bách khoa - 268 Lý Thường Kiệt, Phường Diên Hồng, TP.HCM

Vô vàn địa điểm thú vị và góc check-in xịn sò đang chờ đón các bạn tại chuyến tham quan. Đừng chần chừ nữa, tag ngay hội bạn thân vào và điền form đăng ký giữ chỗ ngay thôi nào! 👇

👉 Link đăng ký lên xe: https://forms.gle/k2PYo2pUEg1VpVie9

#BKFC #THPTNguyenHuuCanh #ToiYeuBachKhoa #HCMUT #BachKhoa #TuyenSinh2026 #BKSTEMTOUR",0,"04/30/2026 22:56",https://www.facebook.com/bkfcnhctphcm/posts/pfbid02MLNihKXjgWgEj7WScEnSYoWbGTUu2mtNxsE1tWyYwNDzVkZm6FCWVYxFMYpTccjhl,Ảnh,,"Trọn đời",0,--,155,5,0,5,0,1,136,313,,
122119410321174523,61585235690451,"BK FC - Trường THPT Nguyễn Hữu Cảnh, TP.HCM",,0,"04/08/2026 05:43",https://www.facebook.com/bkfcnhctphcm/posts/pfbid02juawkuHxyXy12pWnt777SdKN94fezAaj6xBFQH8CwRL7EKtYvv1GFwjaoVPf43kSl,"Văn bản",,"Trọn đời",0,--,46,0,0,0,0,0,33,17,,
