record_id,product_id,quality_type,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,failure_twf,failure_hdf,failure_pwf,failure_osf,failure_rnf,air_temp_c,process_temp_c,temp_differential_c,power_w,type_encoded,failure_type
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,24.950000000000045,35.450000000000045,10.5,6951.590560157351,1,No Failure
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,25.05000000000001,35.55000000000001,10.5,6826.722724152667,0,No Failure
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,24.950000000000045,35.35000000000002,10.399999999999977,7749.387542560967,0,No Failure
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,25.05000000000001,35.450000000000045,10.400000000000034,5927.504658915661,0,No Failure
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,25.05000000000001,35.55000000000001,10.5,5897.816608339237,0,No Failure
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,24.950000000000045,35.450000000000045,10.5,6252.554778807084,1,No Failure
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,24.950000000000045,35.450000000000045,10.5,6917.703247400629,0,No Failure
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,24.950000000000045,35.450000000000045,10.5,6428.264055922363,0,No Failure
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,25.150000000000034,35.55000000000001,10.399999999999977,4992.639989035923,1,No Failure
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,25.350000000000023,35.85000000000002,10.5,5104.878622573175,1,No Failure
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,25.25,35.75,10.5,4459.993426595285,2,No Failure
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,25.450000000000045,35.950000000000045,10.5,6601.41817101272,2,No Failure
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,25.450000000000045,35.950000000000045,10.5,7165.22933257697,1,No Failure
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,25.450000000000045,36.05000000000001,10.599999999999966,5472.6544025534195,1,No Failure
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,25.450000000000045,36.05000000000001,10.599999999999966,4176.85215270275,0,No Failure
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,25.450000000000045,36.05000000000001,10.599999999999966,7815.528539894543,0,No Failure
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,25.450000000000045,36.05000000000001,10.599999999999966,6397.602111623327,1,No Failure
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,25.55000000000001,36.05000000000001,10.5,6733.0613751736455,1,No Failure
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,25.650000000000034,36.05000000000001,10.399999999999977,7453.6380101520235,2,No Failure
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,25.75,36.150000000000034,10.400000000000034,5554.3358115467545,1,No Failure
